0: expected: 1, actual 0.999878
1018: expected: 0.000000, actual 0.038531
1019: expected: 0.000000, actual 0.062941
1020: expected: 0.000000, actual 0.009388
1021: expected: 0.000000, actual 0.051354
1022: expected: 0.000000, actual 0.009019
1023: expected: 0.000000, actual 0.018394
1024: expected: 1.000000, actual 0.973711
1025: expected: 0.000000, actual 0.010912
1026: expected: 0.000000, actual 0.011908
1027: expected: 0.000000, actual 0.003676
1028: expected: 0.000000, actual 0.012322
1029: expected: 0.000000, actual 0.026220
1030: expected: 0.000000, actual 0.046605
1031: expected: 0.000000, actual 0.005386
1032: expected: 1.000000, actual 1.000000
1033: expected: 0.000000, actual 0.103005
1034: expected: 0.000000, actual 0.003779
1035: expected: 0.000000, actual 0.010251
1036: expected: 0.000000, actual 0.033725
1037: expected: 0.000000, actual 0.032671
1038: expected: 0.000000, actual 0.024383
1039: expected: 0.000000, actual 0.019021
1040: expected: 0.000000, actual 0.012394
1041: expected: 0.000000, actual 0.004107
1042: expected: 1.000000, actual 1.000000
1043: expected: 0.000000, actual 0.025430
1044: expected: 0.000000, actual 0.004328
1045: expected: 0.000000, actual 0.031300
1046: expected: 0.000000, actual 0.007232
1047: expected: 0.000000, actual 0.005288
1048: expected: 0.000000, actual 0.008151
1049: expected: 0.000000, actual 0.012194
1050: expected: 0.000000, actual 0.008866
1051: expected: 0.000000, actual 0.110288
1052: expected: 0.000000, actual 0.005316
1053: expected: 0.000000, actual 0.019082
1054: expected: 0.000000, actual 0.132879
1055: expected: 0.000000, actual 0.067528
1056: expected: 0.000000, actual 0.007065
1057: expected: 0.000000, actual 0.004697
1058: expected: 0.000000, actual 0.016133
1059: expected: 1.000000, actual 0.999974
1060: expected: 0.000000, actual 0.289965
1061: expected: 0.000000, actual 0.020576
1062: expected: 0.000000, actual 0.006130
1063: expected: 0.000000, actual 0.006145
1064: expected: 0.000000, actual 0.050383
1065: expected: 0.000000, actual 0.022611
1066: expected: 0.000000, actual 0.016495
1067: expected: 0.000000, actual 0.003932
1068: expected: 1.000000, actual 1.000000
1069: expected: 0.000000, actual 0.070401
1070: expected: 0.000000, actual 0.028639
1071: expected: 0.000000, actual 0.007579
1072: expected: 0.000000, actual 0.067625
1073: expected: 1.000000, actual 0.999997
1074: expected: 1.000000, actual 0.959997
1075: expected: 0.000000, actual 0.009264
1076: expected: 0.000000, actual 0.273935
1077: expected: 0.000000, actual 0.006270
1078: expected: 0.000000, actual 0.031391
1079: expected: 0.000000, actual 0.037452
1080: expected: 0.000000, actual 0.721073
1081: expected: 1.000000, actual 0.450291
1082: expected: 1.000000, actual 0.962053
1083: expected: 0.000000, actual 0.017181
1084: expected: 1.000000, actual 1.000000
1085: expected: 0.000000, actual 0.028236
1086: expected: 0.000000, actual 0.004693
1087: expected: 0.000000, actual 0.007285
1088: expected: 1.000000, actual 0.999866
1089: expected: 1.000000, actual 1.000000
1090: expected: 0.000000, actual 0.023926
1091: expected: 0.000000, actual 0.012444
1092: expected: 0.000000, actual 0.007176
1093: expected: 1.000000, actual 0.768625
1094: expected: 1.000000, actual 0.999314
1095: expected: 0.000000, actual 0.018728
1096: expected: 1.000000, actual 0.055723
1097: expected: 1.000000, actual 0.206810
1098: expected: 0.000000, actual 0.009818
1099: expected: 0.000000, actual 0.004406
1100: expected: 0.000000, actual 0.005996
1101: expected: 0.000000, actual 0.004718
1102: expected: 0.000000, actual 0.006119
1103: expected: 0.000000, actual 0.007587
1104: expected: 1.000000, actual 0.869445
1105: expected: 1.000000, actual 1.000000
1106: expected: 0.000000, actual 0.025626
1107: expected: 0.000000, actual 0.010689
1108: expected: 1.000000, actual 0.999996
1109: expected: 0.000000, actual 0.053509
1110: expected: 0.000000, actual 0.015370
1111: expected: 0.000000, actual 0.005514
1112: expected: 0.000000, actual 0.081864
1113: expected: 0.000000, actual 0.006137
1114: expected: 1.000000, actual 0.495250
1115: expected: 0.000000, actual 0.009529
1116: expected: 0.000000, actual 0.004720
1117: expected: 0.000000, actual 0.008797
1118: expected: 0.000000, actual 0.006057
1119: expected: 0.000000, actual 0.015321
1120: expected: 0.000000, actual 0.010170
1121: expected: 0.000000, actual 0.024996
1122: expected: 1.000000, actual 0.972416
1123: expected: 1.000000, actual 0.401987
1124: expected: 0.000000, actual 0.055522
1125: expected: 0.000000, actual 0.016550
1126: expected: 1.000000, actual 1.000000
1127: expected: 0.000000, actual 0.085494
1128: expected: 0.000000, actual 0.010202
1129: expected: 0.000000, actual 0.036509
1130: expected: 0.000000, actual 0.007053
1131: expected: 0.000000, actual 0.005545
1132: expected: 1.000000, actual 0.066769
1133: expected: 0.000000, actual 0.014845
1134: expected: 0.000000, actual 0.004243
1135: expected: 0.000000, actual 0.010731
1136: expected: 0.000000, actual 0.118728
1137: expected: 0.000000, actual 0.004782
1138: expected: 1.000000, actual 0.992249
1139: expected: 0.000000, actual 0.025782
1140: expected: 1.000000, actual 1.000000
1141: expected: 0.000000, actual 0.021186
1142: expected: 0.000000, actual 0.005507
1143: expected: 0.000000, actual 0.023267
1144: expected: 1.000000, actual 0.999734
1145: expected: 0.000000, actual 0.020396
1146: expected: 0.000000, actual 0.003168
1147: expected: 0.000000, actual 0.006581
1148: expected: 0.000000, actual 0.004202
1149: expected: 0.000000, actual 0.085872
Accuracy 0.955652
Test passed
